date,menu_item,quantity_sold,price_per_unit,total_sales
2025-01-01,Pizza,79,4.04,319.16
2025-01-01,Burger,64,3.38,216.32
2025-01-01,Steak,21,5.62,118.02
2025-01-01,Tacos,74,10.22,756.2800000000001
2025-01-01,Salad,81,5.39,436.59
2025-01-01,Ice Cream,93,11.42,1062.06
2025-01-01,Pasta,63,5.65,355.95000000000005
2025-01-01,Veg Wrap,85,6.34,538.9
2025-01-01,Fried Chicken,10,12.11,121.1
2025-01-01,Grilled Sandwich,30,11.38,341.40000000000003
2025-01-02,Tacos,22,7.31,160.82
2025-01-02,Pasta,54,10.24,552.96
2025-01-02,Salad,15,11.76,176.4
2025-01-02,Fried Chicken,78,4.5,351.0
2025-01-02,Pizza,58,3.95,229.10000000000002
2025-01-02,Ice Cream,47,12.95,608.65
2025-01-02,Grilled Sandwich,89,13.63,1213.0700000000002
2025-01-03,Smoothie,20,13.26,265.2
2025-01-03,Salad,22,7.56,166.32
2025-01-03,Steak,68,10.63,722.84
2025-01-03,Pizza,56,4.95,277.2
2025-01-03,Burger,55,5.51,303.05
2025-01-03,Burrito,44,11.42,502.48
2025-01-03,Tacos,97,10.78,1045.6599999999999
2025-01-04,Ice Cream,91,11.26,1024.66
2025-01-04,Pasta,38,11.22,426.36
2025-01-04,Soup,17,5.75,97.75
2025-01-04,Steak,14,12.66,177.24
2025-01-04,Salad,61,6.21,378.81
2025-01-04,Burrito,37,13.96,516.52
2025-01-04,Fries,82,13.52,1108.6399999999999
2025-01-04,Grilled Sandwich,50,5.55,277.5
2025-01-04,Smoothie,73,7.75,565.75
2025-01-05,Fries,64,13.77,881.28
2025-01-05,Pasta,61,7.34,447.74
2025-01-05,Tacos,27,9.11,245.96999999999997
2025-01-05,Burrito,21,12.07,253.47
2025-01-05,Salad,24,4.83,115.92
2025-01-05,Soup,30,12.5,375.0
2025-01-05,Smoothie,64,10.16,650.24
2025-01-05,Sushi,59,7.58,447.22
2025-01-05,Fried Chicken,69,9.35,645.15
2025-01-05,Veg Wrap,80,13.33,1066.4
2025-01-06,Ice Cream,44,12.22,537.6800000000001
2025-01-06,Steak,53,4.34,230.01999999999998
2025-01-06,Pizza,65,4.9,318.5
2025-01-06,Veg Wrap,10,14.45,144.5
2025-01-06,Soup,43,14.66,630.38
2025-01-07,Soup,87,5.39,468.92999999999995
2025-01-07,Pizza,57,12.15,692.5500000000001
2025-01-07,Ice Cream,79,14.44,1140.76
2025-01-07,Tacos,77,14.02,1079.54
2025-01-07,Sushi,86,6.89,592.54
2025-01-07,Veg Wrap,12,4.34,52.08
2025-01-08,Veg Wrap,82,14.36,1177.52
2025-01-08,Burrito,20,11.78,235.6
2025-01-08,Sushi,18,14.74,265.32
2025-01-08,Tacos,78,12.19,950.8199999999999
2025-01-08,Salad,26,10.92,283.92
2025-01-08,Burger,80,4.98,398.40000000000003
2025-01-08,Ice Cream,77,13.47,1037.19
2025-01-09,Salad,66,13.8,910.8000000000001
2025-01-09,Soup,67,4.45,298.15000000000003
2025-01-09,Sushi,38,3.77,143.26
2025-01-09,Steak,12,10.06,120.72
2025-01-09,Veg Wrap,39,10.06,392.34000000000003
2025-01-09,Tacos,10,3.85,38.5
2025-01-09,Grilled Sandwich,90,3.71,333.9
2025-01-09,Fried Chicken,18,13.87,249.66
2025-01-10,Pizza,79,4.59,362.61
2025-01-10,Soup,83,9.91,822.53
2025-01-10,Salad,41,12.42,509.21999999999997
2025-01-10,Tacos,62,5.28,327.36
2025-01-10,Ice Cream,22,10.91,240.02
2025-01-10,Fries,55,8.08,444.4
2025-01-10,Sushi,69,13.37,922.53
2025-01-11,Ice Cream,61,11.74,716.14
2025-01-11,Veg Wrap,23,5.98,137.54000000000002
2025-01-11,Burrito,34,9.44,320.96
2025-01-11,Pizza,27,8.06,217.62
2025-01-11,Burger,45,8.55,384.75000000000006
2025-01-12,Fries,93,14.99,1394.07
2025-01-12,Sushi,11,14.63,160.93
2025-01-12,Soup,40,5.0,200.0
2025-01-12,Pizza,72,8.78,632.16
2025-01-12,Burger,61,13.83,843.63
2025-01-13,Grilled Sandwich,64,11.36,727.04
2025-01-13,Burger,81,10.94,886.14
2025-01-13,Veg Wrap,72,4.86,349.92
2025-01-13,Tacos,47,5.61,263.67
2025-01-13,Fries,17,9.95,169.14999999999998
2025-01-13,Steak,79,3.73,294.67
2025-01-14,Burger,17,14.53,247.01
2025-01-14,Veg Wrap,20,13.22,264.40000000000003
2025-01-14,Smoothie,18,10.14,182.52
2025-01-14,Fries,96,13.34,1280.6399999999999
2025-01-14,Soup,61,4.44,270.84000000000003
2025-01-14,Ice Cream,82,5.95,487.90000000000003
2025-01-14,Pasta,86,3.48,299.28
2025-01-15,Grilled Sandwich,50,14.22,711.0
2025-01-15,Ice Cream,36,11.04,397.43999999999994
2025-01-15,Smoothie,50,5.86,293.0
2025-01-15,Sushi,60,4.57,274.20000000000005
2025-01-15,Soup,92,6.6,607.1999999999999
2025-01-16,Veg Wrap,19,9.45,179.54999999999998
2025-01-16,Sushi,74,6.18,457.32
2025-01-16,Pizza,54,13.57,732.78
2025-01-16,Burger,41,7.43,304.63
2025-01-16,Fries,30,8.26,247.79999999999998
2025-01-16,Smoothie,79,11.44,903.76
2025-01-16,Burrito,88,14.81,1303.28
2025-01-17,Soup,80,4.87,389.6
2025-01-17,Burger,46,10.26,471.96
2025-01-17,Ice Cream,53,5.44,288.32
2025-01-17,Veg Wrap,91,13.23,1203.93
2025-01-17,Tacos,74,8.86,655.64
2025-01-17,Pizza,16,4.11,65.76
2025-01-17,Pasta,64,12.95,828.8
2025-01-17,Sushi,15,3.04,45.6
2025-01-17,Burrito,26,10.65,276.90000000000003
2025-01-17,Grilled Sandwich,43,4.94,212.42000000000002
2025-01-18,Soup,79,3.43,270.97
2025-01-18,Steak,57,9.99,569.4300000000001
2025-01-18,Grilled Sandwich,28,8.16,228.48000000000002
2025-01-18,Veg Wrap,15,6.7,100.5
2025-01-18,Burger,15,13.79,206.85
2025-01-18,Pizza,36,11.18,402.48
2025-01-18,Smoothie,95,4.23,401.85
2025-01-18,Pasta,81,13.61,1102.4099999999999
2025-01-19,Smoothie,32,11.84,378.88
