supplier_id,ingredient,delivery_date,delivery_time,quantity_delivered,quality_score,on_time_delivery
Supplier D,Pasta,2025-02-06,16:00,917,3.2,True
Supplier C,Fish,2025-02-16,14:30,96,3.8,True
Supplier C,Bread,2025-01-10,14:45,832,4.1,True
Supplier A,Cheese,2025-02-20,13:30,621,4.9,True
Supplier D,Chicken,2025-03-06,8:00,89,3.3,False
Supplier D,Sauce,2025-03-08,15:15,670,4.8,True
Supplier C,Bread,2025-01-21,14:30,657,3.7,False
Supplier C,Pizza Dough,2025-03-02,8:30,389,4.3,False
Supplier C,Eggs,2025-03-30,18:00,661,3.9,True
Supplier A,Pizza Dough,2025-03-16,15:15,586,4.3,False
Supplier B,Cheese,2025-01-05,17:00,245,3.0,False
Supplier B,Tortilla,2025-02-22,11:45,563,4.5,False
Supplier A,Rice,2025-01-18,16:15,624,3.7,False
Supplier D,Milk,2025-02-10,10:45,984,4.1,False
Supplier C,Pasta,2025-03-20,15:15,302,3.6,False
Supplier C,Chicken,2025-02-06,11:45,374,4.0,False
Supplier A,Beef,2025-03-15,18:45,967,5.0,False
Supplier B,Sauce,2025-02-07,8:30,781,3.2,False
Supplier C,Pasta,2025-03-03,11:15,897,4.1,False
Supplier A,Cheese,2025-03-20,17:15,298,3.1,True
Supplier B,Pasta,2025-01-07,9:45,388,4.4,True
Supplier B,Pasta,2025-01-01,16:15,466,4.3,False
Supplier B,Potato,2025-02-06,13:30,711,3.1,True
Supplier B,Pasta,2025-03-10,8:15,477,4.8,True
Supplier A,Fish,2025-02-20,15:15,816,4.9,False
Supplier A,Fish,2025-01-02,12:00,1000,5.0,False
Supplier D,Potato,2025-01-18,16:45,329,3.4,True
Supplier B,Bread,2025-02-28,18:30,785,3.4,False
Supplier C,Sauce,2025-03-14,18:15,229,4.2,False
Supplier D,Rice,2025-03-07,13:00,460,4.3,True
Supplier D,Cheese,2025-02-11,11:00,317,3.8,False
Supplier C,Sauce,2025-02-12,12:00,317,4.3,True
Supplier A,Lettuce,2025-03-01,12:15,465,4.4,False
Supplier A,Pizza Dough,2025-03-23,12:30,679,3.4,True
Supplier B,Potato,2025-02-28,17:30,475,4.4,False
Supplier B,Sauce,2025-02-01,18:00,588,3.9,False
Supplier A,Tomato,2025-01-08,16:15,636,4.1,True
Supplier D,Bread,2025-01-15,18:15,784,4.2,True
Supplier D,Fish,2025-01-08,15:15,575,3.8,True
Supplier D,Milk,2025-03-28,12:00,455,3.5,True
Supplier B,Pizza Dough,2025-03-16,9:00,483,3.7,True
Supplier A,Milk,2025-01-09,15:00,343,3.8,True
Supplier D,Sauce,2025-02-17,14:45,940,4.8,False
Supplier A,Tortilla,2025-03-29,18:15,719,4.7,True
Supplier D,Cheese,2025-03-09,10:15,904,3.0,True
Supplier D,Beef,2025-03-28,16:45,594,3.8,True
Supplier D,Chicken,2025-02-14,10:30,243,4.9,True
Supplier D,Lettuce,2025-03-20,8:15,261,3.1,True
Supplier A,Potato,2025-02-01,8:45,499,3.5,True
Supplier A,Sauce,2025-01-18,16:30,289,4.6,False
Supplier C,Eggs,2025-01-31,12:15,726,4.0,False
Supplier C,Beef,2025-01-08,16:15,691,4.4,False
Supplier C,Lettuce,2025-03-24,18:45,854,4.0,False
Supplier B,Tortilla,2025-02-08,14:15,822,4.1,True
Supplier B,Rice,2025-02-08,10:45,986,3.1,False
Supplier B,Tortilla,2025-02-19,11:30,258,3.7,True
Supplier D,Fish,2025-02-17,9:15,102,3.5,True
Supplier A,Rice,2025-01-25,17:15,540,3.4,False
Supplier A,Beef,2025-01-28,11:00,814,5.0,False
Supplier B,Fish,2025-03-31,17:15,456,4.8,False
Supplier C,Sauce,2025-02-18,15:30,365,3.5,False
Supplier A,Potato,2025-03-02,13:15,429,3.6,True
Supplier B,Eggs,2025-01-19,8:30,616,4.9,False
Supplier B,Beef,2025-01-26,13:15,438,4.1,True
Supplier C,Potato,2025-02-02,15:45,521,3.3,False
Supplier B,Cheese,2025-03-11,15:15,988,4.8,True
Supplier A,Milk,2025-01-10,18:00,832,3.0,True
Supplier B,Rice,2025-01-09,10:00,273,4.0,False
Supplier D,Lettuce,2025-03-26,15:00,56,4.1,False
Supplier A,Lettuce,2025-03-09,12:30,67,4.0,False
Supplier B,Sauce,2025-01-14,9:15,296,3.4,False
Supplier C,Rice,2025-02-04,14:00,432,4.9,False
Supplier B,Eggs,2025-03-31,11:30,750,4.7,True
Supplier A,Pasta,2025-01-12,14:45,436,4.1,True
Supplier A,Pasta,2025-03-31,10:00,561,4.7,False
Supplier A,Eggs,2025-03-09,8:15,266,4.8,False
Supplier A,Beef,2025-01-10,18:30,970,4.1,True
Supplier C,Cheese,2025-01-03,11:15,820,4.6,False
Supplier A,Fish,2025-02-08,10:15,630,4.7,False
Supplier C,Pasta,2025-02-19,10:00,562,4.5,False
Supplier A,Lettuce,2025-02-25,11:00,398,4.2,False
Supplier C,Sauce,2025-01-04,18:30,852,5.0,False
Supplier C,Chicken,2025-03-12,14:45,240,4.4,False
Supplier C,Tomato,2025-02-01,9:00,324,3.3,True
Supplier D,Pizza Dough,2025-02-10,13:00,143,3.0,False
Supplier C,Potato,2025-02-04,9:15,139,3.4,False
Supplier D,Milk,2025-01-14,8:00,412,4.1,False
Supplier D,Rice,2025-01-02,12:45,447,4.6,True
Supplier B,Eggs,2025-03-29,14:15,192,3.5,False
Supplier B,Potato,2025-01-09,10:45,332,3.8,False
Supplier A,Sauce,2025-02-16,12:15,788,4.3,True
Supplier A,Potato,2025-01-18,12:00,455,3.7,False
Supplier C,Sauce,2025-02-26,13:45,885,4.6,True
Supplier C,Beef,2025-03-19,11:45,371,3.4,False
Supplier C,Bread,2025-03-30,18:45,639,4.6,False
Supplier C,Tortilla,2025-02-20,13:00,627,3.4,True
Supplier A,Pasta,2025-03-01,11:45,866,3.6,True
Supplier D,Rice,2025-03-28,15:15,698,3.6,False
Supplier B,Pasta,2025-02-24,14:00,509,5.0,False
Supplier D,Eggs,2025-03-10,16:45,606,3.1,False
Supplier A,Pizza Dough,2025-01-14,11:30,220,4.3,True
Supplier D,Eggs,2025-02-12,14:00,60,3.2,True
Supplier B,Milk,2025-02-27,13:45,524,4.5,True
Supplier A,Bread,2025-03-03,9:30,475,4.8,True
Supplier B,Tomato,2025-02-14,12:30,516,4.6,False
Supplier D,Bread,2025-01-13,15:45,376,3.1,True
Supplier A,Sauce,2025-01-03,13:00,743,4.6,True
Supplier B,Milk,2025-03-12,10:30,623,3.9,False
Supplier D,Chicken,2025-03-22,10:15,705,4.3,False
Supplier B,Lettuce,2025-02-27,17:45,448,3.0,True
Supplier C,Chicken,2025-01-09,17:00,868,4.7,True
Supplier C,Bread,2025-01-26,15:00,318,4.3,False
Supplier C,Milk,2025-03-18,14:45,651,3.2,False
Supplier D,Rice,2025-03-21,10:30,990,4.2,True
Supplier B,Pasta,2025-02-10,9:15,362,3.2,False
Supplier B,Pizza Dough,2025-03-07,14:45,660,3.3,False
Supplier B,Tortilla,2025-03-04,18:15,618,3.3,False
Supplier B,Cheese,2025-02-10,15:00,936,3.7,True
Supplier B,Potato,2025-01-25,14:45,468,4.4,False
Supplier D,Pizza Dough,2025-03-04,10:00,628,3.1,True
Supplier A,Beef,2025-02-05,11:30,222,4.6,False
Supplier A,Milk,2025-03-15,9:30,843,4.1,False
Supplier A,Milk,2025-02-26,16:15,485,3.2,True
Supplier A,Beef,2025-02-27,12:30,932,4.6,False
Supplier A,Rice,2025-01-31,11:30,931,4.4,False
Supplier B,Cheese,2025-01-27,11:00,633,3.7,False
Supplier B,Eggs,2025-02-11,12:30,636,3.5,True
Supplier D,Cheese,2025-01-08,12:15,768,4.7,True
Supplier C,Cheese,2025-02-01,18:45,551,3.3,False
Supplier D,Pasta,2025-02-18,15:00,698,4.6,True
Supplier C,Tortilla,2025-03-30,13:45,549,3.7,True
Supplier A,Rice,2025-02-28,18:30,920,3.1,False
Supplier D,Chicken,2025-01-28,15:30,380,4.7,False
Supplier B,Milk,2025-03-14,15:30,965,4.4,True
Supplier A,Lettuce,2025-03-22,15:00,177,4.9,True
Supplier D,Potato,2025-01-01,14:15,755,4.8,False
Supplier C,Cheese,2025-01-12,18:30,306,3.2,True
Supplier D,Lettuce,2025-03-22,12:15,489,4.3,True
Supplier B,Lettuce,2025-03-03,9:15,657,3.5,False
Supplier A,Lettuce,2025-03-31,13:00,930,3.8,True
Supplier A,Potato,2025-01-30,14:00,798,4.6,True
Supplier C,Bread,2025-02-08,10:45,842,4.6,True
Supplier B,Pasta,2025-01-09,16:00,674,4.3,False
Supplier B,Bread,2025-03-22,10:45,680,4.4,True
Supplier A,Tomato,2025-01-18,9:45,409,4.9,False
Supplier B,Sauce,2025-02-01,12:00,304,4.1,False
Supplier A,Sauce,2025-03-26,12:15,580,4.2,True
Supplier D,Pizza Dough,2025-02-07,18:00,852,4.8,True
Supplier D,Potato,2025-01-15,11:45,703,4.2,True
Supplier C,Bread,2025-01-17,14:45,424,4.1,True
Supplier D,Sauce,2025-01-10,8:00,64,3.5,True
Supplier A,Fish,2025-02-20,16:30,693,4.4,False
Supplier D,Tortilla,2025-01-11,18:15,334,3.2,True
Supplier B,Milk,2025-01-20,16:30,450,4.2,True
Supplier D,Beef,2025-01-31,8:15,138,4.8,True
Supplier A,Potato,2025-02-09,18:15,172,3.0,True
Supplier A,Pizza Dough,2025-01-21,15:30,585,4.0,False
Supplier C,Cheese,2025-01-17,12:00,839,4.8,False
Supplier D,Sauce,2025-02-04,16:00,319,4.4,True
Supplier D,Potato,2025-03-07,13:00,561,4.7,True
Supplier B,Bread,2025-02-02,9:00,283,4.5,True
Supplier A,Lettuce,2025-02-01,8:45,422,3.8,True
Supplier A,Cheese,2025-03-12,18:45,279,3.6,False
Supplier C,Fish,2025-02-04,9:30,172,4.0,True
Supplier B,Cheese,2025-03-08,8:45,120,4.8,False
Supplier C,Sauce,2025-02-11,9:45,58,3.7,False
Supplier C,Eggs,2025-03-21,11:45,427,4.2,False
Supplier B,Sauce,2025-03-11,11:15,56,4.9,True
Supplier C,Chicken,2025-03-23,8:30,51,4.5,False
Supplier C,Rice,2025-01-14,11:15,479,4.0,True
Supplier C,Cheese,2025-01-12,8:15,968,4.7,False
Supplier C,Pizza Dough,2025-02-28,9:00,567,3.3,False
Supplier A,Tomato,2025-02-25,18:15,292,3.6,False
Supplier D,Fish,2025-03-31,13:30,513,3.5,True
Supplier B,Chicken,2025-03-16,9:15,158,3.3,False
Supplier D,Bread,2025-01-16,16:30,838,3.4,False
Supplier C,Potato,2025-01-16,9:15,876,4.4,True
Supplier C,Chicken,2025-01-19,9:15,414,3.8,True
Supplier C,Pasta,2025-02-03,10:00,464,4.7,True
Supplier D,Tomato,2025-01-14,10:00,62,3.1,True
Supplier B,Cheese,2025-02-21,13:00,646,4.2,True
Supplier A,Lettuce,2025-01-26,18:45,878,3.3,False
Supplier A,Tomato,2025-03-01,8:15,996,4.1,False
Supplier A,Potato,2025-02-18,18:45,226,3.7,True
Supplier C,Beef,2025-02-27,10:00,678,4.2,True
Supplier C,Pasta,2025-03-05,14:45,112,3.2,False
Supplier D,Cheese,2025-01-26,18:15,695,5.0,True
Supplier C,Tortilla,2025-03-03,16:45,402,4.8,False
Supplier C,Tortilla,2025-01-24,8:30,661,3.4,False
Supplier D,Lettuce,2025-03-09,13:15,213,3.2,True
